name,nominal,price,nkd,cost,coupon,rate,profitability
Russian Post BO-002P-04,RUB:1000.0,71.21,RUB:20.0,RUB:733.0,RUB:46.0,9.25,15.32
Russian Post BO-001P-02,RUB:1000.0,94.19,RUB:5.0,RUB:947.0,RUB:75.0,15.15,16.0
Russian Post BO-001P-03,RUB:1000.0,83.0,RUB:1.0,RUB:831.0,RUB:49.0,9.85,17.42
Russian Post BO-001P-04,RUB:1000.0,85.2,RUB:7.0,RUB:860.0,RUB:49.0,9.9,14.34
Russian Post BO-001P-05,RUB:1000.0,84.38,RUB:7.0,RUB:851.0,RUB:49.0,9.9,14.72
Russian Post BO-001P-06,RUB:1000.0,90.95,RUB:21.0,RUB:931.0,RUB:44.0,9.0,10.1
Russian Post BO-001P-07,RUB:1000.0,94.85,RUB:14.0,RUB:963.0,RUB:47.0,9.5,9.59
Russian Post BO-001P-08,RUB:1000.0,95.72,RUB:17.0,RUB:975.0,RUB:47.0,9.5,9.2
Russian Post BO-001P-09,RUB:1000.0,100.04,RUB:0.0,RUB:1001.0,RUB:32.0,6.6,5.71
Russian Post BO-02,RUB:1000.0,95.96,RUB:5.0,RUB:965.0,RUB:57.0,11.5,12.76
Russian Post BO-03,RUB:1000.0,104.4,RUB:38.0,RUB:1083.0,RUB:94.0,19.0,12.69
Russian Post BO-04,RUB:1000.0,95.92,RUB:24.0,RUB:984.0,RUB:70.0,14.2,13.93
Pravourmiyskoe BO-01,RUB:1000.0,92.01,RUB:29.0,RUB:950.0,RUB:97.0,19.5,25.13
Praktika LK 001P-01,RUB:1000.0,90.97,RUB:14.0,RUB:924.0,RUB:27.0,11.0,11.48
Praktika LK 001P-02,RUB:730.0,91.91,RUB:7.0,RUB:679.0,RUB:9.0,15.69,11.22
Praktika LK 001P-03,RUB:889.0,98.36,RUB:6.0,RUB:882.0,RUB:17.0,23.6,21.15
Project 111 001P-01,RUB:1000.0,78.04,RUB:32.0,RUB:813.0,RUB:36.0,14.5,28.41
PR-Leasing LLC BO 001P-03,RUB:1000.0,99.5,RUB:6.0,RUB:1001.0,RUB:16.0,20.0,17.53
PR-Leasing LLC BO 002P-01,RUB:1000.0,96.5,RUB:6.0,RUB:972.0,RUB:9.0,12.0,11.36
PR-Leasing LLC BO 002P-02,RUB:1000.0,69.58,RUB:3.0,RUB:699.0,RUB:10.0,12.5,20.58
NC Prodkorporacya 01,RUB:750.0,86.44,RUB:11.0,RUB:659.0,RUB:33.0,8.99,15.4
Promsvyazbank PAO 15,RUB:10000000.0,100.0,RUB:60958.0,RUB:10066658.0,RUB:62328.0,2.5,2.15
Promsvyazbank PAO 16,RUB:10000000.0,100.0,RUB:52739.0,RUB:10058439.0,RUB:62328.0,2.5,2.14
O1 Propertiz Finans B0-P01USD,$:1000.0,50.0,$:0.0,$:500.0,$:30.0,6.11,88.28
Government of the UdmurtR34008,RUB:700.0,100.0,RUB:7.0,RUB:708.0,RUB:11.0,6.4,3.13
SMP Bank 02,RUB:1000.0,100.01,RUB:75.0,RUB:1076.0,RUB:84.0,17.0,0.0
Promsvyazbank 003P-09,RUB:1000.0,99.58,RUB:4.0,RUB:1000.0,RUB:19.0,22.5,20.08
SevMorPut BO-01,RUB:1000.0,0.0,RUB:23.0,RUB:0.0,RUB:47.0,19.2,0.0
SevMorPut BO-02,RUB:1000.0,0.0,RUB:22.0,RUB:0.0,RUB:47.0,19.2,0.0
SevMorPut BO-03,RUB:1000.0,0.0,RUB:21.0,RUB:0.0,RUB:47.0,19.2,0.0
SMP Bank 03,RUB:1000.0,100.01,RUB:76.0,RUB:1077.0,RUB:84.0,17.0,0.0
PERVOURALSKBANK 001P-01,RUB:1000.0,95.3,RUB:11.0,RUB:964.0,RUB:18.0,22.0,14.14
PZ Pushkinskoe 001P-01,RUB:1000.0,82.02,RUB:6.0,RUB:827.0,RUB:44.0,18.0,18.71
PZ Pushkinskoe 001P-02,RUB:1000.0,76.21,RUB:20.0,RUB:783.0,RUB:54.0,22.0,30.7
PZ Pushkinskoe 001P-03,RUB:1000.0,78.57,RUB:40.0,RUB:826.0,RUB:49.0,20.0,26.13
PZ Pushkinskoe BO-01,RUB:650.0,89.0,RUB:3.0,RUB:582.0,RUB:22.0,14.0,16.03
FJPM LLC BO-P02,RUB:10000.0,91.73,RUB:24.0,RUB:9203.0,RUB:106.0,13.0,24.29
RAF 001-01,RUB:1000.0,100.0,RUB:1.0,RUB:1002.0,RUB:18.0,23.0,19.91
RVK-Invest 001P-01,RUB:1000.0,91.61,RUB:59.0,RUB:975.0,RUB:103.0,20.75,19.66
RG Leasing 1P1,RUB:1000.0,100.0,RUB:25.0,RUB:1025.0,RUB:109.0,22.0,18.43
